run,camCol,rerun,field,objID,u,g,r,i,z,ra,dec
7765,3,301,172,1237678824639693674,23.21125,23.89606,23.39934,22.49489,22.02766,337.544488289287,4.0894693153376
7765,3,301,36,1237678824630780949,23.61629,24.07422,23.5498,22.11266,21.15536,317.128792388586,3.13407347834385
7765,3,301,123,1237678824636482185,23.25041,23.19065,23.07082,22.54216,21.67651,330.089029032452,3.83593078694671
7765,3,301,173,1237678824639758590,22.26376,22.48825,22.93198,22.44706,21.53212,337.585827866052,4.0245948009336
7765,3,301,21,1237678824629796920,23.80403,24.38247,24.02848,21.95957,21.51579,314.823422830622,2.93282470737494
7765,3,301,56,1237678824632090859,24.59068,24.38026,24.05146,21.957,21.42633,320.123170897777,3.21073661551577
7765,3,301,79,1237678824633598084,23.56563,24.60726,24.13258,22.12882,21.26532,323.54756618979,3.45559047559382
7765,3,301,87,1237678824634123125,23.09378,24.43164,24.30727,22.55714,21.21288,324.746048484019,3.44998216146328
7765,3,301,169,1237678824639496549,24.06797,24.45089,24.71073,22.81486,21.62024,337.069799244135,4.06587292040159
7765,3,301,56,1237678824632091013,24.08649,24.5036,23.83877,21.96742,21.41952,320.1767489166,3.2049018541463
7765,3,301,23,1237678824629928090,23.75961,23.64927,23.08897,21.33034,20.5192,315.144186392673,2.89757037366675
7765,3,301,109,1237678824635564259,23.49573,24.49996,24.07818,22.06539,21.45447,328.100866069584,3.58363733222011
7765,3,301,126,1237678824636678180,24.10797,24.0843,24.20049,22.99286,22.17685,330.527521895713,3.86457735736175
7765,3,301,131,1237678824637006041,23.37068,23.58275,24.03294,23.46956,21.80968,331.408335339286,3.829632474738
7765,3,301,43,1237678824631238942,23.66451,24.68221,25.0028,22.51117,21.62017,318.20501536595,3.19386011206621
7765,3,301,49,1237678824631632215,24.20108,25.02316,24.66428,21.9247,20.96126,319.105760513229,3.20076204732582
7765,3,301,60,1237678824632352880,23.58709,25.66271,25.34654,23.14289,22.63951,320.683421888717,3.2157559948923
7765,3,301,92,1237678824634449996,22.43909,23.41666,24.80202,24.3618,20.62892,325.451094705826,3.62946502489392
7765,3,301,80,1237678824633663642,22.93965,23.47189,24.17037,23.27095,21.911,323.72576864067,3.34958199460421
7765,3,301,149,1237678824638185616,24.06898,24.67911,24.78014,22.39378,21.27627,334.08682193145,4.01844901095847
7765,3,301,180,1237678824640217275,21.58339,23.57258,24.80202,23.52832,20.28968,338.749255573039,4.15489464762311
7765,3,301,35,1237678824630715495,24.12507,24.40022,23.74308,21.56387,20.65469,316.896165623061,3.07503323473666
7765,3,301,40,1237678824631043847,23.95082,24.09083,23.69803,21.96749,21.2372,317.764161441686,3.04069073918744
1740,1,301,85,1237652946382291051,22.07818,25.08917,24.78063,24.33002,22.89657,9.59632577773122,-10.8220484641102
1740,1,301,125,1237652946384913184,23.50786,24.69856,25.52267,22.01403,21.36599,15.6951287633744,-10.7640111420437
